Chain Name,Chain ID,Token Name,,FinalChainID
ConnectorManager Robin,38401,ttRPG,eip155:,eip155:38401
PRM Mainnet,39656,PRM,eip155:,eip155:39656
Energi Mainnet,39797,NRG,eip155:,eip155:39797
OHO Mainnet,39815,OHO,eip155:,eip155:39815
Opulent-X BETA,41500,OXYN,eip155:,eip155:41500
Arbitrum One,42161,ETH,eip155:,eip155:42161
Arbitrum Nova,42170,ETH,eip155:,eip155:42170
Celo Mainnet,42220,CELO,eip155:,eip155:42220
Oasis Emerald,42262,ROSE,eip155:,eip155:42262
GoldXChain Mainnet,42355,GOLDX,eip155:,eip155:42355
ZKFair Mainnet,42766,USDC,eip155:,eip155:42766
Etherlink Mainnet,42793,XTZ,eip155:,eip155:42793
Athereum,43110,ATH,eip155:,eip155:43110
Avalanche C-Chain,43114,AVAX,eip155:,eip155:43114
Frenchain,44444,FREN,eip155:,eip155:44444
Quantum Network,44445,QTM,eip155:,eip155:44445
Autobahn Network,45000,TXL,eip155:,eip155:45000
Swamps L2,45454,SWP,eip155:,eip155:45454
Deelance Mainnet,45510,DEE,eip155:,eip155:45510
Neo X Mainnet,47763,GAS,eip155:,eip155:47763
REI Network,47805,REI,eip155:,eip155:47805
Liveplex OracleEVM,50001,ETH,eip155:,eip155:50001
Yooldo Verse Mainnet,50005,OAS,eip155:,eip155:50005
Sardis Mainnet,51712,SRDX,eip155:,eip155:51712
Electroneum Mainnet,52014,ETN,eip155:,eip155:52014
DOID,53277,DOID,eip155:,eip155:53277
DFK Chain,53935,JEWEL,eip155:,eip155:53935
Titan,55004,ETH,eip155:,eip155:55004
REI Chain Mainnet,55555,REI,eip155:,eip155:55555
Lambda Chain Mainnet,56026,ETH,eip155:,eip155:56026
Boba BNB Mainnet,56288,BOBA,eip155:,eip155:56288
VELO Labs Mainnet,56789,NOVA,eip155:,eip155:56789
COINSEC Network,57451,SEC,eip155:,eip155:57451
Sepolia PGN (Public Goods Network),58008,ETH,eip155:,eip155:58008
Linea Goerli,59140,ETH,eip155:,eip155:59140
Linea Sepolia,59141,ETH,eip155:,eip155:59141
Linea,59144,ETH,eip155:,eip155:59144
Genesys Code Mainnet,59971,GCODE,eip155:,eip155:59971
BOB,60808,ETH,eip155:,eip155:60808
Orange Chain Mainnet,61022,BTC,eip155:,eip155:61022
KaiChain,61406,KEC,eip155:,eip155:61406
Etica Mainnet,61803,EGAZ,eip155:,eip155:61803
DoKEN Super Chain Mainnet,61916,DKN,eip155:,eip155:61916
Optopia Mainnet,62050,ETH,eip155:,eip155:62050
MultiVAC Mainnet,62621,MTV,eip155:,eip155:62621
eCredits Mainnet,63000,ECS,eip155:,eip155:63000
Vecno Mainnet,65357,VE,eip155:,eip155:65357
Scolcoin Mainnet,65450,SCOL,eip155:,eip155:65450
Cosmic Chain,67588,COSMIC,eip155:,eip155:67588
DM2 Verse Mainnet,68770,OAS,eip155:,eip155:68770
Condrieu,69420,CTE,eip155:,eip155:69420
Thinkium Mainnet Chain 0,70000,TKM,eip155:,eip155:70000
Thinkium Mainnet Chain 1,70001,TKM,eip155:,eip155:70001
Thinkium Mainnet Chain 2,70002,TKM,eip155:,eip155:70002
Thinkium Mainnet Chain 103,70103,TKM,eip155:,eip155:70103
Proof of Play - Apex,70700,ETH,eip155:,eip155:70700
GuapcoinX,71111,GuapX,eip155:,eip155:71111
Godwoken Mainnet,71402,pCKB,eip155:,eip155:71402
Grok Chain Mainnet,72992,GROC,eip155:,eip155:72992
ICB Network,73115,ICBX,eip155:,eip155:73115
Mixin Virtual Machine,73927,ETH,eip155:,eip155:73927
GEEK Verse Mainnet,75512,OAS,eip155:,eip155:75512
BORAchain mainnet,77001,BORA,eip155:,eip155:77001
Vention Smart Chain Mainnet,77612,VNT,eip155:,eip155:77612
Cycle Network Mainnet Sailboat,77677,ETH,eip155:,eip155:77677
Toronet Mainnet,77777,TORO,eip155:,eip155:77777
Dragonfly Mainnet (Hexapod),78281,DFLY,eip155:,eip155:78281
Amplify Subnet,78430,AMP,eip155:,eip155:78430
Bulletin Subnet,78431,BLT,eip155:,eip155:78431
Conduit Subnet,78432,CON,eip155:,eip155:78432
Vanguard,78600,VANRY,eip155:,eip155:78600
Mumbai,80001,MATIC,eip155:,eip155:80001
Amoy,80002,MATIC,eip155:,eip155:80002
Berachain bArtio,80084,BERA,eip155:,eip155:80084
Berachain Artio,80085,BERA,eip155:,eip155:80085
Hizoco mainnet,80096,HZC,eip155:,eip155:80096
Nordek Mainnet,81041,NRK,eip155:,eip155:81041
Blast,81457,ETH,eip155:,eip155:81457
Quantum Chain Mainnet,81720,QNET,eip155:,eip155:81720
ZEDXION,83872,ZEDX,eip155:,eip155:83872
Aerie Network,84886,AER,eip155:,eip155:84886
CYBERTRUST,85449,CYBER,eip155:,eip155:85449
Inoai Network,88559,INO,eip155:,eip155:88559
ZKasino Mainnet,88800,ZKAS,eip155:,eip155:88800
Unit Zero Stagenet,88819,UNIT0,eip155:,eip155:88819
Beverly Hills,90210,BVE,eip155:,eip155:90210
Nautilus Trition Chain,91002,tZBC,eip155:,eip155:91002
MetaDAP Enterprise Mainnet,91120,DAP,eip155:,eip155:91120
Ebi Chain,98881,ETH,eip155:,eip155:98881
UB Smart Chain(testnet),99998,UBC,eip155:,eip155:99998
UB Smart Chain,99999,UBC,eip155:,eip155:99999
QuarkChain Mainnet Root,100000,QKC,eip155:,eip155:100000
QuarkChain Mainnet Shard 0,100001,QKC,eip155:,eip155:100001
QuarkChain Mainnet Shard 1,100002,QKC,eip155:,eip155:100002
QuarkChain Mainnet Shard 2,100003,QKC,eip155:,eip155:100003
QuarkChain Mainnet Shard 3,100004,QKC,eip155:,eip155:100004
QuarkChain Mainnet Shard 4,100005,QKC,eip155:,eip155:100005
QuarkChain Mainnet Shard 5,100006,QKC,eip155:,eip155:100006
QuarkChain Mainnet Shard 6,100007,QKC,eip155:,eip155:100007
QuarkChain Mainnet Shard 7,100008,QKC,eip155:,eip155:100008
VeChain,100009,VET,eip155:,eip155:100009
QuarkChain L2 Mainnet,100011,QKC,eip155:,eip155:100011
Crystaleum,103090,◈,eip155:,eip155:103090
KaspaClassic Mainnet,104566,CAS,eip155:,eip155:104566
Stratis Mainnet,105105,STRAX,eip155:,eip155:105105
BROChain Mainnet,108801,BRO,eip155:,eip155:108801
MARS Credit,110110,MARS,eip155:,eip155:110110
Siberium Network,111111,SIBR,eip155:,eip155:111111
re.al,111188,reETH,eip155:,eip155:111188
Metachain One Mainnet,112358,METAO,eip155:,eip155:112358
Gemchain,123321,GEM,eip155:,eip155:123321
Odyssey Chain (Testnet),131313,DIONE,eip155:,eip155:131313
ETND Chain Mainnets,131419,ETND,eip155:,eip155:131419
ICPlaza Mainnet,142857,ict,eip155:,eip155:142857
Eclat Mainnet,165279,ECLAT,eip155:,eip155:165279
Taiko Mainnet,167000,ETH,eip155:,eip155:167000
Taiko Katla L2,167008,ETH,eip155:,eip155:167008
Taiko Hekla L2,167009,ETH,eip155:,eip155:167009
Bitica Chain Mainnet,188710,BDCC,eip155:,eip155:188710
Akroma,200625,AKA,eip155:,eip155:200625
Bitlayer Mainnet,200901,BTC,eip155:,eip155:200901
Alaya Mainnet,201018,atp,eip155:,eip155:201018
Mythical Chain,201804,MYTH,eip155:,eip155:201804
Jellie,202624,TWL,eip155:,eip155:202624
X1 Network,204005,XN,eip155:,eip155:204005
PlatON Mainnet,210425,lat,eip155:,eip155:210425
Mas Mainnet,220315,MAS,eip155:,eip155:220315
Reapchain Mainnet,221230,REAP,eip155:,eip155:221230
HydraDX,222222,WETH,eip155:,eip155:222222
DeepL Mainnet,222555,DEEPL,eip155:,eip155:222555
Taf ECO Chain Mainnet,224168,TAFECO,eip155:,eip155:224168
CONET Holesky,224433,CONET,eip155:,eip155:224433
ARTIS sigma1,246529,ATS,eip155:,eip155:246529
CMP-Mainnet,256256,CMP,eip155:,eip155:256256
Social Smart Chain Mainnet,281121,$OC,eip155:,eip155:281121
One World Chain Mainnet,309075,OWCT,eip155:,eip155:309075
Parex Mainnet,322202,PRX,eip155:,eip155:322202
Nal Mainnet,328527,ETH,eip155:,eip155:328527
TTcoin Smart Chain Mainnet,330844,TC,eip155:,eip155:330844
Bloom Genesis Mainnet,333313,BGBC,eip155:,eip155:333313
Polis Mainnet,333999,POLIS,eip155:,eip155:333999
UPchain Mainnet,336666,UBTC,eip155:,eip155:336666
Bitfinity Network Mainnet,355110,BFT,eip155:,eip155:355110
LAVITA Mainnet,360890,vTFUEL,eip155:,eip155:360890
Digit Soul Smart Chain 2,363636,DGC,eip155:,eip155:363636
